attraction_id,place_id,attraction_name,category,opening_time,closing_time,entry_fee,time_required,rating,description
A0001,P001,Taj Mahal,Historical,6:00,18:30,1100,3 hours,4.9,Iconic white marble mausoleum built by Emperor Shah Jahan for his wife.
A0002,P001,Agra Fort,Fort,6:00,18:00,650,2 hours,4.7,Massive UNESCO-listed Mughal fort housing palaces courtyards and mosques.
A0003,P001,Fatehpur Sikri,Historical,6:00,18:00,610,3 hours,4.6,Abandoned Mughal capital city with stunning sandstone architecture.
A0004,P001,Mehtab Bagh,Garden,6:00,18:00,300,1 hour,4.5,Moonlit garden offering spectacular sunset views of the Taj Mahal.
A0005,P001,Itimad-ud-Daulah,Historical,6:00,18:00,310,1 hour,4.4,Delicate Mughal tomb often called the Baby Taj for its intricate inlay work.
A0006,P001,Jama Masjid Agra,Religious,7:00,18:00,0,1 hour,4.4,One of India's largest mosques built by Shah Jahan in 1648.
A0007,P001,Akbar's Tomb Sikandra,Historical,6:00,18:00,310,1 hour,4.4,Grand sandstone and marble tomb of Mughal Emperor Akbar near Agra.
A0008,P001,Kinari Bazaar,Market,10:00,21:00,0,1 hour,4.3,Bustling old market famous for wedding accessories zari and marble souvenirs.
A0009,P002,Amber Fort,Fort,8:00,17:30,700,3 hours,4.8,Majestic hilltop fort overlooking Maota Lake with stunning Rajput architecture.
A0010,P002,City Palace Jaipur,Palace,9:30,17:00,700,2 hours,4.7,Royal palace complex housing museums courtyards and Diwan-i-Khas.
A0011,P002,Hawa Mahal,Palace,9:00,17:00,200,1 hour,4.6,Iconic five-storey honeycomb facade palace built for royal women.
A0012,P002,Jantar Mantar Jaipur,Historical,9:00,16:30,200,1 hour,4.5,UNESCO-listed astronomical observatory with massive stone instruments.
A0013,P002,Nahargarh Fort,Fort,10:00,18:00,200,2 hours,4.5,Hilltop fort with panoramic views of Jaipur city and surrounding hills.
A0014,P002,Jal Mahal,Palace,6:00,18:00,0,1 hour,4.4,Picturesque palace appearing to float in the middle of Man Sagar Lake.
A0015,P002,Albert Hall Museum,Museum,9:00,17:00,150,2 hours,4.4,Oldest museum in Rajasthan showcasing art artifacts and Egyptian mummy.
A0016,P002,Birla Mandir Jaipur,Temple,6:00,12:00,0,1 hour,4.4,Stunning white marble temple dedicated to Lord Vishnu and Goddess Lakshmi.
A0017,P002,Johari Bazaar,Market,10:00,21:00,0,1 hour,4.3,Famous jewellery market in Jaipur known for gems textiles and handicrafts.
A0018,P002,Sisodia Rani Garden,Garden,8:00,18:00,50,1 hour,4.2,Terraced Mughal-style garden built by Maharaja Sawai Jai Singh II.
A0019,P003,Kashi Vishwanath Temple,Temple,3:00,23:00,0,2 hours,4.8,One of the most sacred Hindu temples dedicated to Lord Shiva in Varanasi.
A0020,P003,Dashashwamedh Ghat,Religious,5:00,22:00,0,2 hours,4.8,Main ghat on the Ganges famous for spectacular daily Ganga Aarti ceremony.
A0021,P003,Sarnath,Historical,9:00,17:00,40,2 hours,4.6,Sacred site where Buddha delivered his first sermon after enlightenment.
A0022,P003,Manikarnika Ghat,Religious,0:00,23:59,0,1 hour,4.5,Ancient cremation ghat believed to offer liberation from cycle of rebirth.
A0023,P003,Assi Ghat,Religious,5:00,21:00,0,1 hour,4.5,Peaceful southernmost ghat famous for morning rituals and yoga sessions.
A0024,P003,Ramnagar Fort,Fort,10:00,17:00,15,2 hours,4.3,18th-century riverside fort housing a museum with vintage cars and weapons.
A0025,P003,Bharat Kala Bhavan Museum,Museum,10:30,16:30,100,2 hours,4.4,BHU museum with rare miniature paintings textiles and archaeological artifacts.
A0026,P003,Tulsi Manas Temple,Temple,5:30,12:00,0,1 hour,4.3,White marble temple built at the site where Tulsidas wrote Ramcharitmanas.
A0027,P003,Sankat Mochan Hanuman Temple,Temple,5:00,22:00,0,1 hour,4.6,Beloved Hanuman temple founded by saint Tulsidas on the banks of Ganges.
A0028,P004,Red Fort,Fort,9:30,16:30,600,2 hours,4.6,Magnificent Mughal red sandstone fort and UNESCO World Heritage Site in Delhi.
A0029,P004,Qutub Minar,Historical,7:00,17:00,650,2 hours,4.6,UNESCO-listed 73-metre tall minaret and Iron Pillar complex from 12th century.
A0030,P004,India Gate,Historical,0:00,23:59,0,1 hour,4.7,Iconic war memorial dedicated to soldiers who died in World War One.
A0031,P004,Humayun's Tomb,Historical,6:00,18:00,600,2 hours,4.6,UNESCO-listed Mughal garden tomb and inspiration for the Taj Mahal.
A0032,P004,Lotus Temple,Temple,9:00,17:30,0,1 hour,4.6,Stunning flower-shaped Bahai house of worship open to all religions.
A0033,P004,Akshardham Temple Delhi,Temple,9:30,18:30,0,3 hours,4.8,Grand Hindu temple complex with exhibitions gardens and cultural shows.
A0034,P004,National Museum Delhi,Museum,10:00,17:00,650,3 hours,4.5,India's largest museum showcasing artifacts spanning 5000 years of history.
A0035,P004,Chandni Chowk,Market,9:00,21:00,0,2 hours,4.4,One of India's oldest and busiest markets in the heart of Old Delhi.
A0036,P004,Jama Masjid Delhi,Religious,7:00,12:00,0,1 hour,4.5,India's largest mosque built by Shah Jahan accommodating 25000 worshippers.
A0037,P004,Lodi Garden,Garden,6:00,20:00,0,1 hour,4.5,Historic garden housing 15th-century Lodi dynasty tombs amidst lush greenery.
A0038,P005,Laxman Jhula,Religious,0:00,23:59,0,1 hour,4.6,Iconic iron suspension bridge across the Ganges with temples and ashrams.
A0039,P005,Ram Jhula,Religious,0:00,23:59,0,1 hour,4.5,Sacred suspension bridge connecting Sivananda Ashram to Swarg Ashram.
A0040,P005,Triveni Ghat,Religious,5:00,21:00,0,1 hour,4.6,Sacred bathing ghat famous for evening Ganga Aarti and spiritual ambience.
A0041,P005,Neelkanth Mahadev Temple,Temple,6:00,18:00,0,2 hours,4.6,Sacred Shiva temple nestled in dense forests at 1330 metres altitude.
A0042,P005,Beatles Ashram,Historical,8:00,18:00,600,2 hours,4.4,Abandoned ashram where the Beatles stayed in 1968 now a unique art space.
A0043,P005,Rajaji National Park,Wildlife,6:00,18:00,150,Half Day,4.4,Tiger reserve near Rishikesh with elephants leopards and diverse bird species.
A0044,P005,Parmarth Niketan Ashram,Religious,5:00,21:00,0,2 hours,4.7,One of India's largest ashrams hosting nightly Ganga Aarti and yoga.
A0045,P005,Kunjapuri Temple,Temple,6:00,18:00,0,2 hours,4.5,Hilltop Devi temple offering breathtaking panoramic Himalayan sunrise views.
A0046,P005,Shivpuri Beach,Adventure,7:00,18:00,0,2 hours,4.4,Popular riverside spot for white-water rafting and beach camping activities.
A0047,P006,Solang Valley,Adventure,8:00,18:00,0,Half Day,4.7,Scenic valley famous for skiing paragliding and stunning snow-capped peaks.
A0048,P006,Rohtang Pass,Viewpoint,8:00,17:00,0,Half Day,4.6,High-altitude mountain pass at 3978m offering dramatic snow and glacier views.
A0049,P006,Hadimba Devi Temple,Temple,8:00,18:00,0,1 hour,4.6,Ancient wooden temple dedicated to Goddess Hadimba set in cedar forest.
A0050,P006,Manu Temple Manali,Temple,7:00,19:00,0,1 hour,4.3,Ancient temple dedicated to sage Manu located in Old Manali village.
A0051,P006,Vashisht Hot Springs,Religious,7:00,21:00,0,1 hour,4.4,Ancient natural sulphur hot springs with temples beside Beas River.
A0052,P006,Great Himalayan National Park,Wildlife,7:00,17:00,200,Half Day,4.6,UNESCO World Heritage Site with diverse Himalayan flora fauna and glaciers.
A0053,P006,Naggar Castle,Historical,8:00,18:00,100,1 hour,4.4,Medieval castle with valley views converted into a heritage hotel and museum.
A0054,P006,Beas Kund Trek,Adventure,6:00,18:00,0,Half Day,4.6,Scenic trek to the glacial origin of river Beas with stunning mountain vistas.
A0055,P006,Museum of Himachal Culture and Folk Art,Museum,9:00,17:00,50,1 hour,4.2,Museum displaying traditional Himachali costumes jewelry weapons and artifacts.
A0056,P007,The Ridge Shimla,Viewpoint,0:00,23:59,0,1 hour,4.6,Central open space in Shimla offering panoramic Himalayan mountain views.
A0057,P007,Mall Road Shimla,Market,9:00,22:00,0,2 hours,4.5,Famous promenade lined with shops restaurants and colonial-era buildings.
A0058,P007,Christ Church Shimla,Historical,8:00,18:00,0,1 hour,4.5,Second oldest church in North India with stunning neo-Gothic architecture.
A0059,P007,Jakhu Temple,Temple,5:00,20:00,0,2 hours,4.6,Ancient Hanuman temple atop Jakhu Hill with 33-metre statue and monkeys.
A0060,P007,Kufri,Viewpoint,8:00,18:00,0,Half Day,4.4,Popular hill resort near Shimla known for skiing snow activities and views.
A0061,P007,Shimla State Museum,Museum,10:00,13:30,30,2 hours,4.3,Colonial-era museum with Pahari miniatures sculptures coins and textiles.
A0062,P007,Chadwick Falls,Nature,9:00,17:00,0,1 hour,4.3,Picturesque 67-metre waterfall surrounded by dense forest near Shimla.
A0063,P007,Tara Devi Temple,Temple,7:00,18:00,0,1 hour,4.4,Hilltop temple dedicated to Goddess Tara offering sweeping valley views.
A0064,P007,Green Valley Shimla,Nature,8:00,18:00,0,1 hour,4.4,Scenic spot on Shimla-Kufri road surrounded by lush pine and deodar forests.
A0065,P008,Pangong Lake,Lake,0:00,23:59,0,Half Day,4.9,Stunning high-altitude lake stretching across India and China at 4350m.
A0066,P008,Thiksey Monastery,Monastery,6:00,18:00,100,2 hours,4.8,Impressive 12-storey monastery resembling Lhasa's Potala Palace in structure.
A0067,P008,Nubra Valley,Nature,0:00,23:59,0,Half Day,4.7,Double-humped Bactrian camel desert valley between Karakoram mountain ranges.
A0068,P008,Leh Palace,Palace,7:00,16:00,100,2 hours,4.5,Ruined nine-storey palace overlooking Leh town built in 17th century.
A0069,P008,Hemis Monastery,Monastery,8:00,13:00,100,2 hours,4.7,Largest monastery in Ladakh famous for Hemis festival and Thangka paintings.
A0070,P008,Shanti Stupa,Religious,5:00,21:00,0,1 hour,4.7,White-domed Buddhist stupa on hilltop offering spectacular panoramic Leh views.
A0071,P008,Magnetic Hill,Viewpoint,0:00,23:59,0,30 mins,4.3,Mysterious gravity-defying hill appearing to pull vehicles uphill on its own.
A0072,P008,Diskit Monastery,Monastery,7:00,17:00,50,1 hour,4.6,Oldest monastery in Nubra Valley with giant Maitreya Buddha statue.
A0073,P008,Khardung La Pass,Viewpoint,0:00,23:59,0,1 hour,4.6,One of world's highest motorable passes at 5359m with breathtaking views.
A0074,P009,Har Ki Pauri,Religious,5:00,22:00,0,2 hours,4.8,Sacred ghat in Haridwar believed to bear Lord Vishnu's footprint on steps.
A0075,P009,Mansa Devi Temple,Temple,5:00,21:00,0,2 hours,4.6,Hilltop temple dedicated to Goddess Mansa Devi accessible by ropeway.
A0076,P009,Chandi Devi Temple,Temple,6:00,20:00,0,2 hours,4.5,Temple dedicated to Goddess Chandi Devi atop Neel Parvat hill via ropeway.
A0077,P009,Maya Devi Temple,Temple,6:00,22:00,0,1 hour,4.5,Ancient temple dedicated to Goddess Maya one of India's 51 Shakti Peethas.
A0078,P009,Bharat Mata Mandir,Temple,7:00,21:00,0,1 hour,4.4,Unique eight-storey temple dedicated to Mother India with cultural exhibits.
A0079,P009,Saptrishi Ashram,Religious,6:00,20:00,0,1 hour,4.4,Ancient ashram on Ganges banks where seven sages once meditated together.
A0080,P009,Rajaji National Park Haridwar,Wildlife,6:00,18:00,150,Half Day,4.5,Sprawling tiger reserve near Haridwar famous for elephants tigers and leopards.
A0081,P009,Piran Kaliyar Sharif,Religious,0:00,23:59,0,1 hour,4.5,Famous dargah of Sufi saint Alauddin Ali Ahmed Sabir revered across religions.
A0082,P010,Golden Temple,Religious,0:00,23:59,0,2 hours,4.9,Holiest Sikh shrine and spiritual centre covered in gold serving langar daily.
A0083,P010,Jallianwala Bagh,Historical,6:30,19:30,0,1 hour,4.6,Memorial garden marking the site of 1919 British colonial massacre.
A0084,P010,Wagah Border,Historical,15:00,18:30,0,2 hours,4.7,Famous India-Pakistan border known for patriotic daily flag-lowering ceremony.
A0085,P010,Akal Takht,Religious,0:00,23:59,0,1 hour,4.7,Highest temporal seat of authority of the Sikhs adjacent to Golden Temple.
A0086,P010,Durgiana Temple,Temple,6:00,21:00,0,1 hour,4.5,Silver-doored Hindu temple dedicated to Goddess Durga modelled on Golden Temple.
A0087,P010,Gobindgarh Fort,Fort,10:00,22:00,200,2 hours,4.4,Historic 18th-century fort now a heritage museum with cultural performances.
A0088,P010,Partition Museum,Museum,10:00,18:00,200,2 hours,4.6,World's first museum dedicated to 1947 India-Pakistan partition stories.
A0089,P010,Ram Bagh Garden,Garden,8:00,20:00,50,1 hour,4.2,Oldest Mughal garden in India established by Emperor Babur in 1528.
A0090,P010,Maharaja Ranjit Singh Museum,Museum,10:00,17:00,10,1 hour,4.3,Museum in summer palace of Maharaja Ranjit Singh displaying Sikh artefacts.
A0091,P011,Naini Lake,Lake,0:00,23:59,0,2 hours,4.8,Stunning crescent-shaped lake at the heart of Nainital perfect for boating.
A0092,P011,Snow View Point,Viewpoint,8:00,18:00,150,1 hour,4.6,Popular viewpoint accessible by ropeway offering Himalayan snow peak panoramas.
A0093,P011,Naina Devi Temple,Temple,6:00,20:00,0,1 hour,4.6,Sacred Shakti Peeth temple on Naini Lake shore dedicated to Goddess Naina.
A0094,P011,Tiffin Top,Viewpoint,6:00,18:00,0,2 hours,4.5,Scenic hilltop viewpoint also called Dorothy's Seat with sweeping valley views.
A0095,P011,Eco Cave Gardens,Nature,9:30,17:30,75,1 hour,4.2,Interconnected natural caves with hanging garden and musical fountain for families.
A0096,P011,Nainital Zoo,Wildlife,10:00,17:00,100,2 hours,4.3,High-altitude zoo housing Himalayan black bear snow leopard and Siberian tiger.
A0097,P011,Mall Road Nainital,Market,9:00,22:00,0,1 hour,4.5,Bustling lakeside promenade lined with shops restaurants and colonial-era buildings.
A0098,P011,Khurpatal Lake,Lake,6:00,18:00,0,1 hour,4.3,Serene lesser-visited lake surrounded by dense oak and pine forests near Nainital.
A0099,P011,Lands End,Viewpoint,6:00,18:00,0,1 hour,4.4,Dramatic clifftop viewpoint at forest edge offering sweeping Kumaon valley views.
A0100,P012,Kempty Falls,Nature,8:00,18:00,50,2 hours,4.5,Popular multi-tiered waterfall surrounded by hills ideal for swimming and picnics.
A0101,P012,Gun Hill,Viewpoint,7:00,19:00,150,1 hour,4.5,Second highest peak in Mussoorie reachable by ropeway with Himalayan vistas.
A0102,P012,Mall Road Mussoorie,Market,9:00,22:00,0,2 hours,4.5,Colonial promenade at the heart of Mussoorie with shops cafes and scenic views.
A0103,P012,Lal Tibba,Viewpoint,7:00,18:00,0,1 hour,4.4,Highest peak in Mussoorie offering telescopic views of Badrinath and Kedarnath.
A0104,P012,Camel's Back Road,Nature,6:00,20:00,0,1 hour,4.4,Scenic three-kilometre walk shaped like a camel's back with mountain views.
A0105,P012,Cloud's End,Nature,8:00,18:00,0,1 hour,4.3,Westernmost point of Mussoorie surrounded by dense forest and colonial bungalows.
A0106,P012,Jwala Devi Temple,Temple,6:00,19:00,0,1 hour,4.4,Ancient hilltop temple dedicated to Goddess Jwala with panoramic valley views.
A0107,P012,Company Garden,Garden,8:00,19:00,50,1 hour,4.2,Well-maintained botanical garden with fountains rides and colourful flower beds.
A0108,P012,George Everest House,Historical,8:00,17:00,0,1 hour,4.3,Restored estate of surveyor Sir George Everest with dramatic cliff and valley views.
A0109,P013,Krishna Janmabhoomi,Religious,5:00,21:00,0,2 hours,4.8,Sacred complex marking the exact birthplace of Lord Krishna with ornate temples.
A0110,P013,Dwarkadhish Temple,Temple,6:30,10:30,0,1 hour,4.7,Magnificent 19th-century temple dedicated to Lord Krishna in the heart of Mathura.
A0111,P013,Vishram Ghat,Religious,5:00,21:00,0,1 hour,4.6,Most sacred ghat in Mathura where Krishna rested after defeating Kansa.
A0112,P013,Mathura Museum,Museum,10:30,16:30,25,2 hours,4.4,Government museum with outstanding Kushan-era sculptures and Buddhist artifacts.
A0113,P013,Gita Mandir Mathura,Temple,5:00,21:00,0,1 hour,4.5,Beautiful white marble temple with entire Bhagavad Gita inscribed on its walls.
A0114,P013,Kans Qila,Historical,9:00,17:00,0,1 hour,4.1,Ruins of ancient fort believed to be built by demon king Kansa on Yamuna banks.
A0115,P013,Potara Kund,Religious,6:00,18:00,0,30 mins,4.2,Sacred tank where clothes of infant Krishna are believed to have been washed.
A0116,P014,Banke Bihari Temple,Temple,7:45,12:00,0,1 hour,4.8,Most revered temple in Vrindavan known for unique darshan and festive atmosphere.
A0117,P014,ISKCON Vrindavan,Temple,4:30,20:30,0,2 hours,4.8,Grand Hare Krishna temple complex with stunning architecture and devotional programs.
A0118,P014,Prem Mandir,Temple,5:30,21:00,0,2 hours,4.8,Magnificent white marble temple illuminated at night with scenes of Krishna's life.
A0119,P014,Radha Raman Temple,Temple,7:30,12:30,0,1 hour,4.7,Ancient 16th-century temple housing self-manifested deity of Lord Radha Raman.
A0120,P014,Nidhivan,Religious,5:00,20:00,0,1 hour,4.6,Mystical sacred forest where Krishna is believed to perform Raas Lila at night.
A0121,P014,Madan Mohan Temple,Temple,7:00,18:00,0,1 hour,4.5,One of Vrindavan's oldest temples built in 16th century on a natural rock hill.
A0122,P014,Seva Kunj,Religious,6:00,18:00,0,1 hour,4.5,Sacred grove where Radha and Krishna are said to have spent their evenings.
A0123,P014,Pagal Baba Temple,Temple,7:00,19:00,0,1 hour,4.3,Multi-storey temple complex with colourful mythology scenes and peaceful gardens.
A0124,P015,Dhikala Zone,Wildlife,6:00,18:00,200,Half Day,4.8,Most popular safari zone in Corbett with highest density of tigers and elephants.
A0125,P015,Bijrani Zone,Wildlife,6:00,18:00,200,Half Day,4.7,Scenic grassland safari zone in Corbett known for tiger and leopard sightings.
A0126,P015,Corbett Museum,Museum,8:00,17:00,25,1 hour,4.3,Museum in Jim Corbett's former home displaying hunting memorabilia and photographs.
A0127,P015,Garjia Devi Temple,Temple,6:00,18:00,0,1 hour,4.5,Scenic temple on a large rock in the middle of Kosi River near Corbett.
A0128,P015,Sitabani Zone,Wildlife,6:00,18:00,150,Half Day,4.5,Buffer zone forest ideal for birdwatching and spotting elephants and deer.
A0129,P015,Jhirna Zone,Wildlife,6:00,18:00,200,Half Day,4.5,Open year-round safari zone with reliable sloth bear and leopard sightings.
A0130,P015,Kosi River,Nature,6:00,18:00,0,1 hour,4.4,Scenic river flowing through Corbett ideal for birdwatching and riverside walks.
A0131,P016,Robber's Cave,Nature,8:00,17:00,25,2 hours,4.5,Natural river cave formation with cool water streams popular for wading and exploration.
A0132,P016,Sahastradhara,Nature,8:00,18:00,0,2 hours,4.4,Sulphur spring waterfall site with therapeutic bathing pools and scenic surroundings.
A0133,P016,Tapkeshwar Temple,Temple,5:00,19:00,0,1 hour,4.5,Ancient Shiva cave temple with natural water dripping on Shivalinga year round.
A0134,P016,Mindrolling Monastery,Monastery,9:00,17:00,0,2 hours,4.7,One of the largest Buddhist monasteries in India with stunning white stupa.
A0135,P016,Forest Research Institute,Historical,9:30,17:00,100,2 hours,4.6,Colonial-era heritage building with sprawling campus and six natural history museums.
A0136,P016,Lachhiwala Nature Park,Nature,8:00,18:00,50,2 hours,4.2,Popular picnic spot with natural freshwater pools and dense sal forest surroundings.
A0137,P016,Malsi Deer Park,Wildlife,9:00,17:00,25,1 hour,4.1,Small zoo and deer park at the foothills of Shivalik range near Dehradun.
A0138,P016,Paltan Bazaar,Market,10:00,21:00,0,1 hour,4.3,Main shopping street of Dehradun known for local produce books and woolens.
A0139,P017,Key Monastery,Monastery,7:00,18:00,0,2 hours,4.8,Largest monastery in Spiti Valley perched dramatically on a hilltop at 4166m.
A0140,P017,Chandratal Lake,Lake,0:00,23:59,0,Half Day,4.9,Stunning crescent-shaped high-altitude lake at 4300m with crystal blue waters.
A0141,P017,Dhankar Monastery,Monastery,7:00,17:00,0,2 hours,4.7,Ancient cliff-top monastery with breathtaking views of Spiti and Pin valley confluence.
A0142,P017,Pin Valley National Park,Wildlife,7:00,17:00,150,Half Day,4.6,Cold desert national park home to snow leopard ibex and Siberian birds.
A0143,P017,Tabo Monastery,Monastery,7:00,18:00,0,2 hours,4.8,1000-year-old monastery called Ajanta of the Himalayas with ancient murals.
A0144,P017,Kunzum Pass,Viewpoint,0:00,23:59,0,1 hour,4.7,High mountain pass at 4590m connecting Lahaul and Spiti with panoramic views.
A0145,P017,Langza Village,Viewpoint,0:00,23:59,0,1 hour,4.6,Fossil-rich high-altitude village with giant Buddha statue and Himalayan vistas.
A0146,P017,Hikkim,Nature,0:00,23:59,0,30 mins,4.4,Home to world's highest post office at 4400m in a remote Spiti village.
A0147,P018,Namgyal Monastery,Monastery,7:00,18:00,0,2 hours,4.7,Personal monastery of Dalai Lama in McLeod Ganj open to monks and tourists.
A0148,P018,Tsuglagkhang Complex,Religious,5:00,20:00,0,2 hours,4.8,Main Tibetan temple complex housing golden Buddha statues and Tibetan museum.
A0149,P018,Bhagsu Waterfall,Nature,7:00,18:00,0,2 hours,4.5,Popular scenic waterfall reached via short trek from McLeod Ganj market area.
A0150,P018,Dal Lake Dharamshala,Lake,6:00,18:00,0,1 hour,4.3,Small serene lake surrounded by deodar trees near Dharamshala town centre.
A0151,P018,Dharamshala Cricket Stadium,Historical,9:00,17:00,0,1 hour,4.5,One of world's most scenic cricket stadiums set against snow-capped Dhauladhar peaks.
A0152,P018,Triund Trek,Adventure,6:00,18:00,0,Half Day,4.8,Iconic day trek from McLeod Ganj offering spectacular Dhauladhar ridge views.
A0153,P018,Norbulingka Institute,Museum,9:00,17:30,75,2 hours,4.5,Tibetan cultural centre preserving traditional arts crafts and performing arts.
A0154,P018,War Memorial Dharamshala,Historical,8:00,18:00,0,30 mins,4.3,Memorial honouring soldiers of the Dogra Regiment set in well-maintained gardens.
A0155,P019,Pushkar Lake,Religious,5:00,21:00,0,2 hours,4.7,Sacred lake with 52 ghats where pilgrims bathe to wash away sins and seek blessings.
A0156,P019,Brahma Temple Pushkar,Temple,6:30,20:30,0,1 hour,4.7,One of very few temples in the world dedicated to Lord Brahma the creator.
A0157,P019,Savitri Temple,Temple,6:00,19:00,0,2 hours,4.5,Hilltop temple dedicated to Goddess Savitri accessible by ropeway with panoramic views.
A0158,P019,Pushkar Camel Fair Ground,Nature,0:00,23:59,0,2 hours,4.6,Famous fairground hosting world's largest camel fair every November in Rajasthan.
A0159,P019,Varaha Temple Pushkar,Temple,6:00,20:00,0,30 mins,4.3,Ancient temple dedicated to Varaha the boar avatar of Lord Vishnu.
A0160,P019,Rangji Temple Pushkar,Temple,6:00,20:00,0,30 mins,4.3,Distinctive south Indian style temple dedicated to Lord Rangji in Pushkar town.
A0161,P019,Pushkar Bazaar,Market,9:00,21:00,0,1 hour,4.4,Colourful market street famous for silver jewellery textiles and Rajasthani handicrafts.
A0162,P020,Jaisalmer Fort,Fort,9:00,18:00,500,3 hours,4.8,Living UNESCO World Heritage golden sandstone fort housing temples havelis and hotels.
A0163,P020,Patwon Ki Haveli,Historical,9:00,18:00,100,1 hour,4.6,Largest and most elaborate cluster of havelis in Jaisalmer with intricate carvings.
A0164,P020,Sam Sand Dunes,Adventure,0:00,23:59,0,Half Day,4.7,Iconic golden sand dunes offering camel safaris jeep rides and desert camping.
