hotel_id,place_id,hotel_name,star_rating,price_per_night,hotel_type,free_wifi,breakfast,parking,family_friendly,address,min_price,max_price
H0001,P001,The Oberoi Amarvilas,5,₹45000–₹80000,Luxury,Yes,Yes,Yes,Yes,Taj East Gate Road Agra,45000,80000
H0002,P001,ITC Mughal Agra,5,₹20000–₹40000,Luxury,Yes,Yes,Yes,Yes,Taj Ganj Agra,20000,40000
H0003,P001,Trident Agra,5,₹12000–₹22000,Luxury,Yes,Yes,Yes,Yes,Fatehabad Road Agra,12000,22000
H0004,P001,Courtyard by Marriott Agra,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Fatehabad Road Agra,6000,12000
H0005,P001,Hotel Taj Resorts,3,₹3000–₹6000,Mid-range,Yes,No,Yes,Yes,Taj Ganj Agra,3000,6000
H0006,P001,Hotel Kamal,3,₹1500–₹3000,Budget,Yes,No,No,Yes,Taj Ganj Agra,1500,3000
H0007,P001,Zostel Agra,3,₹800–₹2000,Budget,Yes,No,No,Yes,Taj Nagri Phase 2 Agra,800,2000
H0008,P002,Rambagh Palace,5,₹35000–₹75000,Luxury,Yes,Yes,Yes,Yes,Bhawani Singh Road Jaipur,35000,75000
H0009,P002,Taj Jai Mahal Palace,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Jacob Road Civil Lines Jaipur,20000,45000
H0010,P002,ITC Rajputana Jaipur,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Palace Road Jaipur,12000,25000
H0011,P002,Fairmont Jaipur,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Riico Institutional Area Kukas Jaipur,18000,40000
H0012,P002,Hotel Pearl Palace,3,₹2000–₹5000,Budget,Yes,Yes,No,Yes,Hathroi Fort Ajmer Road Jaipur,2000,5000
H0013,P002,Zostel Jaipur,3,₹800–₹2500,Budget,Yes,No,No,Yes,Bani Park Jaipur,800,2500
H0014,P002,Madhuban Hotel Jaipur,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,D-237 Behari Marg Bani Park Jaipur,3000,6000
H0015,P002,Hilton Jaipur,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Ashram Marg Jaipur,8000,16000
H0016,P003,Taj Ganges Varanasi,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Nadesar Palace Grounds Varanasi,12000,25000
H0017,P003,Radisson Hotel Varanasi,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,The Mall Cantonment Varanasi,6000,12000
H0018,P003,Hotel Surya Varanasi,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,The Mall Cantonment Varanasi,3000,6000
H0019,P003,BrijRama Palace,5,₹18000–₹40000,Luxury,Yes,Yes,No,No,Darbhanga Ghat Varanasi,18000,40000
H0020,P003,Zostel Varanasi,3,₹700–₹2000,Budget,Yes,No,No,Yes,Assi Ghat Varanasi,700,2000
H0021,P003,Hotel Alka Varanasi,3,₹1500–₹3500,Budget,Yes,No,No,Yes,Meer Ghat Varanasi,1500,3500
H0022,P003,Hotel Ganges View,3,₹2500–₹5000,Mid-range,Yes,Yes,No,Yes,Assi Ghat Varanasi,2500,5000
H0023,P004,The Leela Palace New Delhi,5,₹30000–₹70000,Luxury,Yes,Yes,Yes,Yes,Chanakyapuri New Delhi,30000,70000
H0024,P004,The Imperial New Delhi,5,₹25000–₹55000,Luxury,Yes,Yes,Yes,Yes,Janpath New Delhi,25000,55000
H0025,P004,ITC Maurya New Delhi,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Sardar Patel Marg Diplomatic Enclave New Delhi,20000,45000
H0026,P004,The Oberoi New Delhi,5,₹28000–₹60000,Luxury,Yes,Yes,Yes,Yes,Dr Zakir Hussain Marg New Delhi,28000,60000
H0027,P004,Taj Mahal Hotel New Delhi,5,₹22000–₹50000,Luxury,Yes,Yes,Yes,Yes,1 Mansingh Road New Delhi,22000,50000
H0028,P004,Bloom Hotel Vikaspuri,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Vikaspuri New Delhi,3000,6000
H0029,P004,ibis New Delhi Aerocity,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Aerocity New Delhi,4000,8000
H0030,P004,Zostel Delhi,3,₹700–₹2000,Budget,Yes,No,No,Yes,Paharganj New Delhi,700,2000
H0031,P004,Hotel Broadway Delhi,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Asaf Ali Road New Delhi,3500,7000
H0032,P005,Aloha on the Ganges,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Tapovan Rishikesh,8000,16000
H0033,P005,Taj Rishikesh Resort and Spa,5,₹25000–₹55000,Luxury,Yes,Yes,Yes,Yes,Barkot Rishikesh,25000,55000
H0034,P005,Zostel Rishikesh,3,₹700–₹2000,Budget,Yes,No,No,Yes,Laxman Jhula Rishikesh,700,2000
H0035,P005,The Glasshouse on the Ganges,4,₹9000–₹18000,Luxury,Yes,Yes,Yes,Yes,National Highway 58 Rishikesh,9000,18000
H0036,P005,Hotel Surya Rishikesh,3,₹2000–₹5000,Mid-range,Yes,Yes,Yes,Yes,Haridwar Road Rishikesh,2000,5000
H0037,P005,Bunkyard Hostel Rishikesh,3,₹800–₹2000,Budget,Yes,No,No,Yes,Tapovan Rishikesh,800,2000
H0038,P005,Divine Resort Rishikesh,3,₹3000–₹7000,Mid-range,Yes,Yes,Yes,Yes,Swarg Ashram Rishikesh,3000,7000
H0039,P006,Solang Valley Resort,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Solang Valley Manali,8000,16000
H0040,P006,The Himalayan Manali,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Log Huts Area Manali,15000,30000
H0041,P006,Hotel Rohtang Manali,3,₹3000–₹7000,Mid-range,Yes,Yes,Yes,Yes,Mall Road Manali,3000,7000
H0042,P006,Snow Valley Resorts Manali,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Naggar Road Manali,6000,12000
H0043,P006,Zostel Manali,3,₹800–₹2500,Budget,Yes,No,No,Yes,Old Manali,800,2500
H0044,P006,Hotel Beas Manali,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Mall Road Manali,2500,5000
H0045,P006,Club Mahindra Snow Peaks Manali,4,₹9000–₹18000,Luxury,Yes,Yes,Yes,Yes,Rangri Village Manali,9000,18000
H0046,P007,Wildflower Hall Shimla,5,₹25000–₹55000,Luxury,Yes,Yes,Yes,Yes,Chharabra Shimla,25000,55000
H0047,P007,The Oberoi Cecil Shimla,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Chaura Maidan Shimla,18000,40000
H0048,P007,Hotel Combermere Shimla,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,The Mall Shimla,4000,8000
H0049,P007,Kufri Holiday Resort,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Kufri Shimla,7000,14000
H0050,P007,Hotel Dreamland Shimla,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,The Mall Shimla,2500,5000
H0051,P007,Zostel Shimla,3,₹800–₹2000,Budget,Yes,No,No,Yes,Lakkar Bazaar Shimla,800,2000
H0052,P007,Radisson Hotel Shimla,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Strawberry Hills Shimla,8000,16000
H0053,P008,The Grand Dragon Ladakh,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Old Leh Road Leh,8000,16000
H0054,P008,Leh View Hotel,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Karzoo Leh,3000,6000
H0055,P008,Hotel Ladakh Residency,3,₹2500–₹5000,Mid-range,Yes,No,Yes,Yes,Upper Tukcha Road Leh,2500,5000
H0056,P008,The Zen Ladakh,4,₹7000–₹14000,Luxury,Yes,Yes,Yes,Yes,Skara Leh,7000,14000
H0057,P008,Zostel Leh,3,₹800–₹2000,Budget,Yes,No,No,Yes,Old Leh Road Leh,800,2000
H0058,P008,Hotel Singge Palace,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Leh Palace Road Leh,3500,7000
H0059,P009,Sattvik Haridwar,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Railway Road Haridwar,6000,12000
H0060,P009,Hotel Ganga Lahari Haridwar,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Har Ki Pauri Haridwar,3000,6000
H0061,P009,Haveli Hari Ganga,4,₹7000–₹14000,Luxury,Yes,Yes,No,Yes,Ramghat Haridwar,7000,14000
H0062,P009,Hotel Aadishwar Haridwar,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Upper Road Haridwar,2000,4000
H0063,P009,Zostel Haridwar,3,₹700–₹1800,Budget,Yes,No,No,Yes,Shyampur Haridwar,700,1800
H0064,P009,Radisson Blu Haridwar,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Haridwar Bypass Road Haridwar,8000,16000
H0065,P010,Hyatt Amritsar,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,MK Road Amritsar,12000,25000
H0066,P010,Taj Swarna Amritsar,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Town Hall Chowk Amritsar,15000,30000
H0067,P010,Hotel Ritz Plaza Amritsar,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,45 The Mall Amritsar,6000,12000
H0068,P010,Hotel Grace Amritsar,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Queens Road Amritsar,3000,6000
H0069,P010,Zostel Amritsar,3,₹700–₹2000,Budget,Yes,No,No,Yes,Golden Temple Road Amritsar,700,2000
H0070,P010,Hotel Sita Niwas Amritsar,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,near Golden Temple Amritsar,2000,4000
H0071,P011,Manu Maharani Resort,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Grassmere Estate Mallital Nainital,8000,16000
H0072,P011,The Naini Retreat,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Sher-Ka-Danda Nainital,15000,30000
H0073,P011,Hotel Shervani Nainital,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Mallital Nainital,6000,12000
H0074,P011,Zostel Nainital,3,₹800–₹2500,Budget,Yes,No,No,Yes,Lower Mall Road Nainital,800,2500
H0075,P011,Swiss Hotel Nainital,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,The Mall Road Nainital,3000,6000
H0076,P011,Hotel City Heart Nainital,3,₹2000–₹4500,Budget,Yes,No,Yes,Yes,Mallital Nainital,2000,4500
H0077,P011,Vikram Vintage Inn,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Mallital Nainital,3500,7000
H0078,P012,Jaypee Residency Manor,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Library Chowk Mussoorie,12000,25000
H0079,P012,JW Marriott Mussoorie Walnut Grove,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Barlow Ganj Mussoorie,20000,45000
H0080,P012,Fortune Resort Grace,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Cart Mackenzie Road Mussoorie,7000,14000
H0081,P012,Hotel Broadway Mussoorie,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Mall Road Mussoorie,3000,6000
H0082,P012,Zostel Mussoorie,3,₹800–₹2500,Budget,Yes,No,No,Yes,Landour Mussoorie,800,2500
H0083,P012,Hotel Padmini Nivas,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,The Mall Road Mussoorie,2500,5000
H0084,P012,Kasmanda Palace Hotel,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Mall Road Mussoorie,8000,16000
H0085,P013,Radha Ashok Hotel,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,Masani Bypass Road Mathura,2500,5000
H0086,P013,Hotel Brijwasi Royal,3,₹2000–₹4000,Mid-range,Yes,Yes,Yes,Yes,Station Road Mathura,2000,4000
H0087,P013,Hotel Madhuvan Mathura,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Krishna Nagar Mathura,3000,6000
H0088,P013,Nidhivan Sarovar Portico,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Masani Bypass Mathura,5000,10000
H0089,P013,Hotel Goverdhan,3,₹1500–₹3000,Budget,Yes,No,Yes,Yes,Near Railway Station Mathura,1500,3000
H0090,P013,The Mansion Mathura,4,₹6000–₹12000,Luxury,Yes,Yes,Yes,Yes,Civil Lines Mathura,6000,12000
H0091,P014,Ananda Krishna Van,4,₹6000–₹12000,Luxury,Yes,Yes,Yes,Yes,Bhaktivedanta Swami Marg Vrindavan,6000,12000
H0092,P014,Hotel Vrinda,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Parikrama Marg Vrindavan,2000,4000
H0093,P014,ISKCON Guesthouse Vrindavan,3,₹1500–₹3500,Budget,Yes,Yes,Yes,Yes,Raman Reti Vrindavan,1500,3500
H0094,P014,Radha Govind Dham,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,Vrindavan Mathura Road Vrindavan,2500,5000
H0095,P014,Hotel Krishnam Vrindavan,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Chhatikara Road Vrindavan,3000,6000
H0096,P015,Taj Corbett Resort and Spa,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Corbett National Park Ramnagar,20000,45000
H0097,P015,Jim's Jungle Retreat,4,₹10000–₹20000,Luxury,Yes,Yes,Yes,Yes,Dhela Village Corbett,10000,20000
H0098,P015,The Riverview Retreat,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Marchula Corbett,8000,16000
H0099,P015,Corbett Ramganga Resort,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Dhikuli Ramnagar,7000,14000
H0100,P015,Quality Inn Corbett Jungle Resort,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Dhikuli Ramnagar,4000,8000
H0101,P015,Infinity Corbett Resort,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Dhikuli Ramnagar,3000,6000
H0102,P016,Lemon Tree Hotel Dehradun,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Rajpur Road Dehradun,6000,12000
H0103,P016,Taj City Centre Dehradun,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Rajpur Road Dehradun,12000,25000
H0104,P016,Zostel Dehradun,3,₹700–₹2000,Budget,Yes,No,No,Yes,Rajpur Road Dehradun,700,2000
H0105,P016,Hotel Madhuban Dehradun,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,97 Rajpur Road Dehradun,3000,6000
H0106,P016,Hyatt Regency Dehradun,5,₹10000–₹22000,Luxury,Yes,Yes,Yes,Yes,Constantia Marg Jakhan Dehradun,10000,22000
H0107,P016,Hotel President Dehradun,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Astley Hall Dehradun,2500,5000
H0108,P016,Moti Mahal Hotel Dehradun,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Haridwar Road Dehradun,2000,4000
H0109,P017,Spiti Valley Resort,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Kaza Spiti Valley,4000,8000
H0110,P017,Hotel Deyzor Kaza,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Kaza Spiti Valley,3000,6000
H0111,P017,Zostel Kaza,3,₹800–₹2000,Budget,Yes,No,No,Yes,Kaza Spiti Valley,800,2000
H0112,P017,Sakya Abode Spiti,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Kaza Spiti Valley,3500,7000
H0113,P017,Norling Guesthouse Kaza,3,₹1500–₹3000,Budget,Yes,No,No,Yes,Kaza Spiti Valley,1500,3000
H0114,P018,Zostel Dharamshala,3,₹800–₹2000,Budget,Yes,No,No,Yes,McLeod Ganj Dharamshala,800,2000
H0115,P018,Fortune Park Moksha Dharamshala,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Dharamshala Bypass Road Dharamshala,7000,14000
H0116,P018,Hotel Himalayan Dharamshala,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,McLeod Ganj Dharamshala,3000,6000
H0117,P018,Chonor House,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,McLeod Ganj Dharamshala,8000,16000
H0118,P018,Taj Dharamshala,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Sidhpur Dharamshala,15000,30000
H0119,P018,Hotel Norbulingka Dharamshala,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Sidhpur Dharamshala,6000,12000
H0120,P018,Pema Thang Guesthouse,3,₹2000–₹4000,Budget,Yes,No,No,Yes,McLeod Ganj Dharamshala,2000,4000
H0121,P019,The Westin Pushkar Resort and Spa,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Ganahera Village Pushkar,15000,30000
H0122,P019,Hotel Pushkar Palace,4,₹6000–₹12000,Mid-range,Yes,Yes,No,Yes,Pushkar Lake Pushkar,6000,12000
H0123,P019,Ananta Spa and Resorts Pushkar,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Motisar Road Pushkar,12000,25000
H0124,P019,Hotel White House Pushkar,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Chotti Basti Pushkar,2000,4000
H0125,P019,Inn Seventh Heaven Pushkar,3,₹3000–₹6000,Mid-range,Yes,Yes,No,Yes,Chotti Basti Pushkar,3000,6000
H0126,P019,Milkman Guesthouse Pushkar,3,₹1500–₹3000,Budget,Yes,No,No,Yes,Pushkar Lake Pushkar,1500,3000
H0127,P020,Suryagarh Jaisalmer,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Sam Road Jaisalmer,20000,45000
H0128,P020,Taj Hotel and Convention Centre Jaisalmer,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Jodhpur-Barmer Link Road Jaisalmer,15000,30000
H0129,P020,Hotel Rang Mahal Jaisalmer,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Shiv Road Jaisalmer,6000,12000
H0130,P020,Desert Tulip Hotel and Resort,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Sam Road Jaisalmer,5000,10000
H0131,P020,Hotel Tokyo Palace Jaisalmer,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Near Hanuman Circle Jaisalmer,2500,5000
H0132,P020,Zostel Jaisalmer,3,₹800–₹2000,Budget,Yes,No,No,Yes,Nachna Haveli Jaisalmer,800,2000
H0133,P020,Hotel Nachana Haveli,4,₹7000–₹14000,Luxury,Yes,Yes,Yes,Yes,Gandhi Chowk Jaisalmer,7000,14000
H0134,P020,The Serai Jaisalmer,5,₹25000–₹55000,Luxury,Yes,Yes,Yes,Yes,Kanoi Sam Road Jaisalmer,25000,55000
H0135,P021,Windermere Estate Munnar,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Pothamedu Munnar,8000,16000
H0136,P021,Tea Valley Resort Munnar,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Pallivasal Munnar,6000,12000
H0137,P021,Fragrant Nature Munnar,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Bison Valley Road Munnar,7000,14000
H0138,P021,The Tall Trees Munnar,4,₹9000–₹18000,Luxury,Yes,Yes,Yes,Yes,Bison Valley Munnar,9000,18000
H0139,P021,Spice Tree Munnar,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Idukki Munnar,15000,30000
H0140,P021,Hotel Munnar Castle,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Munnar Town Munnar,2500,5000
H0141,P021,Zostel Munnar,3,₹800–₹2000,Budget,Yes,No,No,Yes,Old Munnar Munnar,800,2000
H0142,P022,Savoy Hotel Ooty,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Sylks Road Ooty,8000,16000
H0143,P022,Fortune Sullivan Court Ooty,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Havelock Road Ooty,6000,12000
H0144,P022,Hotel Lakeview Ooty,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Ettines Road Ooty,3000,6000
H0145,P022,Sterling Ooty Fern Hill,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Fern Hill Road Ooty,12000,25000
H0146,P022,Hotel Darshan Ooty,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Commercial Road Ooty,2000,4000
H0147,P022,Sinclairs Retreat Ooty,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Mysore Road Ooty,7000,14000
H0148,P022,Zostel Ooty,3,₹800–₹2000,Budget,Yes,No,No,Yes,Charring Cross Ooty,800,2000
H0149,P023,Taj Madikeri Resort and Spa,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Galibeedu Madikeri Coorg,18000,40000
H0150,P023,Orange County Resort Coorg,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Siddapur Coorg,20000,45000
H0151,P023,Coorg Wilderness Resort,4,₹10000–₹20000,Luxury,Yes,Yes,Yes,Yes,Galibeedu Coorg,10000,20000
H0152,P023,Club Mahindra Madikeri Coorg,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Galibeedu Coorg,8000,16000
H0153,P023,Amanvana Spa Resort Coorg,5,₹22000–₹50000,Luxury,Yes,Yes,Yes,Yes,Kushalnagar Coorg,22000,50000
H0154,P023,Hotel Coorg International,3,₹3000–₹6000,Budget,Yes,No,Yes,Yes,Madikeri Town Coorg,3000,6000
H0155,P024,Radisson Blu Plaza Hotel Mysuru,5,₹10000–₹20000,Luxury,Yes,Yes,Yes,Yes,Nazarbad Mysuru,10000,20000
H0156,P024,Royal Orchid Metropole Mysuru,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,5 Jhansi Lakshmi Bai Road Mysuru,7000,14000
H0157,P024,Sandesh The Prince Hotel Mysuru,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Nazarbad Main Road Mysuru,6000,12000
H0158,P024,Hotel Pai Vista Mysuru,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Curzon Park Road Mysuru,3000,6000
H0159,P024,The Windflower Resort and Spa Mysuru,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Nazarbad Mysuru,12000,25000
H0160,P024,Zostel Mysuru,3,₹700–₹2000,Budget,Yes,No,No,Yes,Sayyaji Rao Road Mysuru,700,2000
H0161,P024,Hotel Dasaprakash Mysuru,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Gandhi Square Mysuru,2000,4000
